id,ra,dec,redshift,redshiftError,class,run,camcol,field
1614633701243643904,160.81082,45.961841,-0.0001981022,2.733295E-05,STAR,3698,6,59
3668307597636771840,160.86255,45.015221,0.0001848568,2.26935E-05,STAR,3698,4,57
3668304299101888512,160.57303,45.734116,-0.000426316,5.428411E-05,STAR,3698,6,57
3668296052764680192,160.30098,45.223583,-0.0004163018,1.234974E-05,STAR,3698,5,55
5280644380771221504,160.96487,45.453031,-0.0001114957,4.214035E-05,STAR,3698,5,59
1614633976121550848,160.54846,45.894028,0.2294239,5.084075E-05,GALAXY,3698,6,58
1611324719976441856,160.65484,45.046684,0.07894052,9.994122E-06,GALAXY,3698,4,56
1611311800714815488,160.01766,45.143498,0.05210765,4.828486E-06,GALAXY,3698,5,54
3668293578863517696,160.23775,45.267155,0.0002012429,3.13524E-05,STAR,3698,5,55
3668306223247237120,160.6602,45.368011,-2.956463E-05,6.457719E-06,STAR,3698,5,57
1611330217534580736,160.33401,45.990469,0.08181383,9.127792E-06,GALAXY,3059,1,40
1611332141679929344,160.38871,45.514317,0.1901616,3.385598E-05,GALAXY,3530,5,274
1614636724900620288,160.50002,45.634617,0.1751579,3.912125E-05,GALAXY,3530,5,274
1614625729784342528,160.77602,45.088142,0.05264336,1.640045E-05,GALAXY,3530,4,274
1611329667778766848,160.37108,45.882735,0.1675304,2.341777E-05,GALAXY,3530,6,274
1611321421441558528,160.00149,45.35226,0.4976255,0.0001282089,GALAXY,3530,5,271
5280644105893314560,160.54818,45.041963,0.4988596,0.0001651008,GALAXY,3530,4,273
3668305398613516288,160.71819,45.627357,-5.8028E-05,7.445862E-06,STAR,3530,5,275
3668281209357705216,160.0448,45.543343,6.331296E-05,1.33614E-05,STAR,3530,5,272
1614635625388992512,160.2334,45.535847,4.226875,0.0004127138,QSO,3530,5,273
1614635900266899456,160.50434,45.238319,-7.122925E-06,1.100931E-05,STAR,3530,4,273
5280644655649128448,160.50829,45.176244,0.5238734,0.0001952758,GALAXY,3530,4,273
3668282033991426048,160.08565,45.607098,-0.0003347355,4.532097E-05,STAR,3698,6,55
1611330767290394624,160.68613,45.462039,0.1334856,2.473021E-05,GALAXY,3698,5,57
5280643831015407616,160.685,45.406512,0.3279381,6.5309E-05,GALAXY,3698,5,57
5280630911753781248,160.3486,45.333515,0.6286724,7.288047E-05,QSO,3698,5,56
5280632561021222912,160.38399,45.375613,0.6041256,0.0001267962,GALAXY,3698,5,56
5280642181747965952,160.56302,45.359628,0.3262021,5.561341E-05,GALAXY,3698,5,57
1611319222418302976,160.1216,45.294136,0.1373936,3.041151E-05,GALAXY,3698,5,54
3668283408380960768,160.03206,45.250511,6.530713E-05,9.991996E-06,STAR,3698,5,54
3668304024223981568,160.83351,45.331345,-0.0004305339,2.933172E-05,STAR,3698,5,58
3668307322758864896,160.97484,45.03595,-0.0008286132,5.477427E-05,STAR,3698,4,58
5280642456625872896,160.67128,45.287779,0.5367665,0.0001508107,GALAXY,3698,5,57
5280641906870059008,160.7711,45.491472,0.5462081,0.0001121251,GALAXY,3698,5,58
1611332416557836288,160.37792,45.692946,0.1233739,1.266447E-05,GALAXY,3698,6,56
3668293853741424640,160.14618,45.393261,-0.0001405899,1.807196E-05,STAR,3530,5,272
5280633935410757632,160.4589,45.052411,2.969691,0.0002565056,QSO,3530,4,273
1611320871685744640,160.11683,45.520532,0.05378459,7.222077E-06,GALAXY,3530,5,272
3668329587869327360,160.95547,45.538631,-0.0003693826,1.864481E-05,STAR,3698,5,59
3668292754229796864,160.50835,45.009197,0.0001078016,2.458175E-05,STAR,3698,4,56
